,version,prompt
0,version 1,"I'm reading fragments from the Bible, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" However, no defects in axon pathfinding along the monosynaptic reflex arc or in muscle
spindle differentiation have been noted in PV KO mice, which develop normally and show no apparent changes in their
behavior or physical activity (Schwaller et al. 1999). "". I find that expression ""spindle"" is neutral

###

I'm reading fragments from the biomed, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" These similarities and differences between the two species help to explain the
possible mechanistic basis of the ESCS. "" I find that word "" differences ""cls is easy

###

I'm reading fragments from the biomed, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" Moreover, acute dosing does not recapitulate the marked learning deficits produced
in rodents [15,16] by chronic exposure to dopamine D2R antagonists [6,7] "" . I find that word ""antagonists"" is
difficult

###

I'm reading fragments from the biomed, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" Thrombus formation on fissured atherosclerotic plaques is the precipitating event in the
transition from a stable or subclinical atherosclerotic disease and leads to acute myocardial infarction,
ischemic stroke or peripheral arterial occlusion. "". I find that word ""Thrombus"" is very difficult

###

I'm reading fragments from the europarl, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" The Union also has the aim of encouraging development and reforms in China for the
benefit not only of the country itself but also, given its size, of the entire planet, and it is in this context
that we have followed with grave concern the consequences of the earthquake that hit Sichuan Province in May and
assessed the scale of this disaster; with more than 70 000 dead and 18 000 missing, the final toll, unfortunately,
is likely to exceed 80 000. "" I find that word "" size "" is very easy

###

I'm reading fragments from the @recurso, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment @oracion I find that word @aEvaluar is"
1,version 2," I'm reading fragments from the Bible, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" However, no defects in axon pathfinding along the monosynaptic reflex arc or in muscle
spindle differentiation have been noted in PV KO mice, which develop normally and show no apparent changes in their
behavior or physical activity (Schwaller et al. 1999). "". I find that word ""spindle"" is neutral

###

I'm reading fragments from the source, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment "" I will sprinkle clean water on you, and you shall be clean: from all your filthiness,
and from all your idols, will I cleanse you. "". I find that word ""filthiness"" is easy

###

I'm reading fragments from the @recurso, and some words are not easy to understand.
I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".

After reading the fragment @oracion I find that word @aEvaluar is"
2,version 3,"I'm reading fragments from the Bible, and some words are not easy to understand. I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".
After reading the fragment "" However, no defects in axon pathfinding along the monosynaptic reflex arc or in muscle spindle differentiation have been noted in PV KO mice, which develop normally and show no apparent changes in their behavior or physical activity (Schwaller et al. 1999). "". I find that word ""spindle"" is neutral

###

After reading the fragment "" I will sprinkle clean water on you, and you shall be clean: from all your filthiness, and from all your idols, will I cleanse you. "".I find that word ""filthiness"" is easy

###

After reading the fragment @oracion I find that word @aEvaluar is"
3,version 4,"I'm reading fragments from some source such as: bible, biomed and europarl, and some words are not easy to understand. I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"". The sentence is ""neutral"" when it is neither ""very easy"", nor ""easy"", nor ""difficult"", nor ""very difficult"".
Several examples are: "" However, no defects in axon pathfinding along the monosynaptic reflex arc or in muscle spindle differentiation have been noted in PV KO mice, which develop normally and show no apparent changes in their behavior or physical activity (Schwaller et al. 1999). "". I find that word ""spindle"" is neutral

###

The following fragment comes from the ""bible"" and after reading the fragment "" I will sprinkle clean water on you, and you shall be clean: from all your filthiness, and from all your idols, will I cleanse you. "".I find that word ""filthiness"" is easy

###

The following fragment comes from the ""biomed"" and after reading the fragment "" Moreover, acute dosing does not recapitulate the marked learning deficits produced in rodents [15,16] by chronic exposure to dopamine D2R antagonists [6,7] "" . I find that word ""antagonists"" is difficult

###

The following fragment comes from the ""biomed"" and after reading the fragment "" Thrombus formation on fissured atherosclerotic plaques is the precipitating event in the transition from a stable or subclinical atheroscleroticdisease and leads to acute myocardial infarction, ischemic stroke or peripheral arterial occlusion. "". I find that word ""Thrombus"" is very difficult

###

The following fragment comes from the ""bible"" and after reading the fragment "" Mount Sinai, all it, smoked, because Yahweh descended on it in fire; and its smoke ascended like the smoke of a furnace, and the whole mountain quaked greatly. "". I find that word ""fire"" is very easy

###

The following fragment comes from the @recurso and after reading the fragment @oracion I find that word @aEvaluar is"
4,version 5,"The following fragment comes from the ""bible"" and after reading the fragment "" At the evening offering I arose up from my humiliation, even with my garment and my robe torn; and I fell on my knees, and spread out my hands to Yahweh my God; "". I found that word ""garment"" is easy
###
The following fragment comes from the ""bible"" and after reading the fragment "" It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken. "". I found that word ""divination"" is difficult
###
The following fragment comes from the ""biomed"" and after reading the fragment "" Expression of pendrinm RNA in the inner ear has been found in several places including the cochlea, the vestibular labyrinth and the endolymphatic sac [8]. "" I found that word ""Expression"" is neutral
###
The following fragment comes from the ""biomed"" and after reading the fragment "" Although the precise molecular functions of these ADAMs are still unclear, further investigations will provide clues to understanding the nervous system of higher organisms. "" I found that word ""investigations"" is easy
###
The following fragment comes from the ""europarl"" and after reading the fragment "" The struggle against global Islamic terrorism is an asymmetric war with unforeseen results and unprecedented consequences, and new jurisprudence internationally is now needed to address this. "" I found that word ""jurisprudence"" is difficult
###
The following fragment comes from the ""europarl"" and after reading the fragment "" The matter was also discussed yesterday by the Political and Security Committee, which was also addressed by Deputy Prime Minister Baramidze. "" I found that word ""Committee"" is neutral
###
The following fragment comes from the @recurso and after reading the fragment @oracion I found that word "
5,version 6,"The following fragment comes from the ""bible"" and after reading the fragment "" At the evening offering I arose up from my humiliation, even with my garment and my robe torn; and I fell on my knees, and spread out my hands to Yahweh my God; "". I found that word ""garment"" is easy
###
The following fragment comes from the ""bible"" and after reading the fragment "" It shall be to them as a false divination in their sight, who have sworn oaths to them; but he brings iniquity to memory, that they may be taken. "". I found that word ""divination"" is difficult
###
The following fragment comes from the ""biomed"" and after reading the fragment "" Expression of pendrinm RNA in the inner ear has been found in several places including the cochlea, the vestibular labyrinth and the endolymphatic sac [8]. "" I found that word ""Expression"" is neutral
###
The following fragment comes from the ""biomed"" and after reading the fragment "" Although the precise molecular functions of these ADAMs are still unclear, further investigations will provide clues to understanding the nervous system of higher organisms. "" I found that word ""investigations"" is easy
###
The following fragment comes from the ""europarl"" and after reading the fragment "" The struggle against global Islamic terrorism is an asymmetric war with unforeseen results and unprecedented consequences, and new jurisprudence internationally is now needed to address this. "" I found that word ""jurisprudence"" is difficult
###
The following fragment comes from the ""europarl"" and after reading the fragment "" The matter was also discussed yesterday by the Political and Security Committee, which was also addressed by Deputy Prime Minister Baramidze. "" I found that word ""Committee"" is neutral
###
The following fragment comes from the @recurso and after reading the fragment @oracion I found that word @aEvaluar is"
6,version 7,"The following fragment comes from the ""bible"" and after reading the fragment "" David said to Saul, ""Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock, "". I find that word ""lion"" is very easy.
###
The following fragment comes from the ""biomed"" and after reading the fragment "" In this report, we generated targeted mutations of Pygo1 and Pygo2 to determine their functions, with a particular interest in the contributions of these genes to canonical Wnt signaling during kidney development. "". I find that word ""kidney"" is easy.
###
The following fragment comes from the ""biomed"" and after reading the fragment "" The model of intermediate MSUD was created by partial transgenic rescue of the E2 gene knockout. "". I find that word ""rescue"" is neutral.
###
The following fragment comes from the ""europarl"" and after reading the fragment "" VIS, for its part, Thas entered an important phase. "". I find that word ""VIS"" is difficult.
###
The following fragment comes from the ""bible"" and after reading the fragment "" He overlaid the cherubim with gold. "" I find that word ""cherubim"" is very difficult.
###
The following fragment comes from the @recurso and after reading the fragment @oracion I find that word @aEvaluar is"
7,version 8,"Classify the words extracted from the following fragments, in: ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult""
The following fragment comes from the ""bible"" and its fragment is "" David said to Saul, ""Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock, "". The word to evaluate is ""lion"" and its complexity is very easy.
###
The following fragment comes from the ""biomed"" and its fragment is "" In this report, we generated targeted mutations of Pygo1 and Pygo2 to determine their functions, with a particular interest in the contributions of these genes to canonical Wnt signaling during kidney development. "". The word to evaluate is ""kidney"" and its complexity is easy.
###
The following fragment comes from the ""biomed"" and its fragment is "" The model of intermediate MSUD was created by partial transgenic rescue of the E2 gene knockout. "". The word to evaluate is ""rescue"" and its complexity is neutral.
###
The following fragment comes from the ""europarl"" and its fragment is "" VIS, for its part, has entered an important phase. "". The word to evaluate is ""VIS"" and its complexity is difficult.
###
The following fragment comes from the ""bible"" and this fragment is "" He overlaid the cherubim with gold. "" is The word to evaluate is ""cherubim"" and this complexity is very difficult.
###
The following fragment comes from the @recurso and this fragment is @oracion. The word to evaluate is @aEvaluar and this complexity is "
8,version 9,""" David said to Saul, ""Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock, "". The word to evaluate is ""lion"" and its complexity is very easy.
###
In this report, we generated targeted mutations of Pygo1 and Pygo2 to determine their functions, with a particular interest in the contributions of these genes to canonical Wnt signaling during kidney development. "". The word to evaluate is ""kidney"" and its complexity is easy.
###
"" The model of intermediate MSUD was created by partial transgenic rescue of the E2 gene knockout. "". The word to evaluate is ""rescue"" and its complexity is neutral.
###
"". The word to evaluate is ""VIS"" and its complexity is difficult.
###
He overlaid the cherubim with gold. "" is The word to evaluate is ""cherubim"" and this complexity is very difficult.
###
In the @oracion, the word to evaluate is @aEvaluar and this complexity is "
9,version 10,"I'm reading fragments from some source, and some words are not easy to understand. I'm classifying these words into ""very easy"", ""easy"", ""neutral"", ""difficult"" and ""very difficult"".
 Several examples are: 
After reading the fragment "" However, no defects in axon pathfinding along the monosynaptic reflex arc or in muscle spindle differentiation have been noted in PV KO mice, which develop normally and show no apparent changes in their behavior or physical activity (Schwaller et al. 1999). "". I classified the word ""spindle"" as ""neutral""

###

After reading the fragment "" I will sprinkle clean water on you, and you shall be clean: from all your filthiness, and from all your idols, will I cleanse you. "".I classified the word ""filthiness"" as ""easy""

###

The following fragment comes from the ""bible"" and its fragment is "" David said to Saul, ""Your servant was keeping his father's sheep; and when a lion or a bear came, and took a lamb out of the flock, "". I classified the word ""lion"" as ""very easy"".
###
The following fragment comes from the ""biomed"" and its fragment is "" In this report, we generated targeted mutations of Pygo1 and Pygo2 to determine their functions, with a particular interest in the contributions of these genes to canonical Wnt signaling during kidney development. "". I classified the word ""kidney"" as ""easy"".
###
The following fragment comes from the ""biomed"" and its fragment is "" The model of intermediate MSUD was created by partial transgenic rescue of the E2 gene knockout. "". I classified the word ""rescue"" as ""neutral"".
###
The following fragment comes from the ""europarl"" and its fragment is "" VIS, for its part, has entered an important phase. "". I classified the word ""VIS"" as ""difficult"".
###
The following fragment comes from the ""bible"" and this fragment is "" He overlaid the cherubim with gold. "" I classified the word ""cherubim"" as ""very difficult"".
###
After reading the fragment "" Moreover, acute dosing does not recapitulate the marked learning deficits produced in rodents [15,16] by chronic exposure to dopamine D2R antagonists [6,7] "" . I classified the word ""antagonists"" as ""difficult""

###

After reading the fragment "" Thrombus formation on fissured atherosclerotic plaques is the precipitating event in the transition from a stable or subclinical atheroscleroticdisease and leads to acute myocardial infarction, ischemic stroke or peripheral arterial occlusion. "". I classified the word ""Thrombus"" as ""very difficult""

###

After reading the fragment @oracion. I classified @aEvaluar as"
